wilayah;rasio_guru_murid;harapan_hidup;pengeluaran_kapita_tahun;IPM;kepadatan_km2
Kota Padang Panjang;14;73.02;11153000;78.78;2449
Kota Padang Sidempuan;15;69.84;11337000;76.05;1436
Kota Pagar Alam;13;67.29;9330000;69.6;309
Kota Palangka Raya;14;73.47;14345000;81.16;123
Kota Palembang;19;71.49;15168000;79.47;4567
Kota Palopo;15;71.18;13404000;78.91;599
Kota Palu;15;71.2;15162000;82.02;922
Kota Pangkal Pinang;19;73.68;16307000;79.24;2094
Kota Parepare;14;71.57;14027000;78.54;1330
Kota Pariaman;14;70.67;13150000;77.65;1425
Kota Pasuruan;18;71.96;13803000;76.54;5895
Kota Payakumbuh;16;74.14;13687000;79.53;1638
Kota Pekalongan;16;74.51;13158000;75.9;6788
Kota Pekanbaru;17;72.7;14804000;82.06;1614
Kota Pematang Siantar;17;74.25;12744000;79.7;3613
Kota Pontianak;19;73.46;15141000;80.48;6082
Kota Prabumulih;15;70.87;13106000;75.52;429
Kota Probolinggo;19;70.68;12571000;74.56;4229
Kota Sabang;10;70.79;11780000;76.85;352
Kota Salatiga;15;77.72;16351000;84.35;3353
Kota Samarinda;19;74.56;15162000;81.43;1163
Kota Sawah Lunto;12;70.4;10537000;73.73;281
Kota Semarang;18;77.69;16047000;84.08;4424
Kota Serang;21;68.54;13709000;72.98;2595
Kota Sibolga;16;69.77;12135000;74.74;8329
Kota Singkawang;18;72.46;12089000;72.89;426
Kota Solok;14;74.06;12515000;79.23;1031
Kota Sorong;16;71.4;13874000;78.98;434
Kota Subulussalam;13;64.3;7689000;66.2;82
Kota Sukabumi;18;72.85;11229000;75.4;6971
Kota Sungai Penuh;10;72.53;10745000;76.17;249
Kota Surabaya;18;74.47;18345000;82.74;8200
Kota Surakarta;16;77.43;15463000;83.08;11354
Kota Tangerang;19;71.91;14909000;78.9;12314
Kota Tangerang Selatan;18;72.78;15997000;81.95;9202
Kota Tanjung Balai;17;63.87;11589000;69.86;2990
Kota Tanjung Pinang;17;72.49;15864000;79.64;1674
Kota Tarakan;18;74.06;11596000;76.68;969
Kota Tasikmalaya;17;72.63;10578000;73.83;4174
Kota Tebing Tinggi;18;71.29;13144000;76.17;4520
Kota Tegal;17;74.64;13455000;76.15;6901
Kota Ternate;14;71.38;13586000;80.81;1935
Kota Tidore Kepulauan;11;69.75;8586000;71.55;68
Kota Tomohon;15;72.44;12268000;77.44;684
Kota Tual;12;66.16;7519000;68.6;333
Kota Yogyakarta;14;74.83;19319000;87.69;11496
Kotabaru;14;69.56;12191000;69.74;35
Kotawaringin Barat;18;70.98;13352000;73.41;26
Kotawaringin Timur;16;70.15;12048000;71.67;26
Kuantan Singingi;12;68.87;10647000;71.09;67
Kubu Raya;16;70.95;9142000;68.91;87
Kudus;16;76.76;11609000;75.89;1998
Kulon Progo;12;75.28;10511000;75.46;746
Kuningan;17;74.03;9620000;70.16;1052
Kupang;12;65.28;7776000;65.04;68
Kutai Barat;10;73.1;10740000;72.92;9
Kutai Kartanegara;16;72.65;11677000;74.67;27
Kutai Timur;16;73.47;11322000;74.35;12
Labuhan Batu;18;70.37;11474000;72.92;183
Labuhan Batu Selatan;17;69.16;11751000;72.16;106
Labuhan Batu Utara;15;69.91;12258000;72.77;108
Lahat;11;66.52;10296000;68.4;82
Lamandau;12;69.62;11559000;71.11;16
Lamongan;14;72.86;11648000;74.02;755
Lampung Barat;14;67.9;10175000;68.39;142
Lampung Selatan;17;69.69;10266000;69.00;480
Lampung Tengah;16;70.08;11710000;70.8;322
Lampung Timur;16;71.01;10403000;70.58;288
Lampung Utara;14;69.57;8951000;68.33;251
Landak;16;73.39;7969000;67.17;45
Langkat;16;69.39;11439000;71.86;177
Lanny Jaya;32;66.31;4559000;49.62;34
Lebak;20;67.74;8854000;64.71;405
Lebong;13;63.68;11644000;68.12;49
Lembata;11;67.52;7622000;65.47;108
Lima Puluh Kota;13;70.08;10035000;70.28;108
Lingga;10;62.92;12134000;66.57;56
Lombok Barat;16;67.63;11754000;69.41;787
Lombok Tengah;15;66.75;10470000;67.57;968
Lombok Timur;14;66.55;9631000;67.59;1114
Lombok Utara;16;67.75;9433000;65.7;326
Lumajang;18;70.61;9466000;66.95;625
Luwu;14;70.75;10308000;71.36;111
Luwu Timur;17;70.94;13058000;73.92;35
Luwu Utara;13;69.03;12105000;70.51;39
Madiun;16;71.9;11848000;72.39;718
Magelang;18;74.03;10011000;70.85;1179
Magetan;15;72.97;12031000;74.85;974
Mahakam Ulu;9;72.35;8215000;68.75;3
Majalengka;19;70.76;9950000;68.56;1085
Majene;13;62.16;10152000;67.84;176
Malaka;12;65.34;6250000;61.34;159
Malang;19;72.95;10326000;71.38;752
Malinau;9;71.5;10304000;72.75;2
Maluku Barat Daya;11;62.98;7010000;63.07;15
Maluku Tengah;11;66.73;10406000;71.81;54
Maluku Tenggara;12;65.46;7795000;66.88;122
Maluku Tenggara Barat;15;63.73;6473000;63.45;28
Mamasa;9;71.2;7837000;67.21;68
Mamberamo Raya;26;58.29;4806000;53.1;2
Mamberamo Tengah;15;64.05;4630000;49.25;14
Mamuju;14;68.21;9668000;68.88;28
Mamuju Tengah;13;68.97;8633000;66.89;48
Mandailing Natal;13;63.05;10061000;68.05;75
Manggarai;16;67.38;7580000;65.83;150
Manggarai Barat;12;67.73;7636000;64.92;107
Manggarai Timur;12;68.29;6145000;62.3;105
Manokwari;16;69.18;12179000;72.6;61
Manokwari Selatan;13;67.84;5691000;60.68;13
Mappi;26;65.66;6550000;59.61;5
Maros;16;69.28;11403000;71.00;200
Maybrat;9;65.53;5425000;60.49;8
Melawi;13;73.14;8830000;66.81;22
Mempawah;16;71.47;8049000;66.94;108
Merangin;12;71.53;10714000;69.98;47
Merauke;17;67.31;10424000;71.24;6
Mesuji;16;68.51;8466000;64.94;104
Mimika;21;72.57;11647000;75.08;15
Minahasa;13;71.49;12690000;76.18;340
Minahasa Selatan;14;70.35;11717000;72.89;164
Minahasa Tenggara;15;70.52;10753000;71.48;161
Minahasa Utara;16;71.68;11593000;74.69;213
Mojokerto;17;72.93;13051000;74.89;1560
Morowali;14;69.23;11291000;72.55;43
Morowali Utara;12;69.77;9242000;68.97;12
Muara Enim;16;69.38;11304000;69.43;84
Muaro Jambi;16;71.58;9118000;70.18;78
Mukomuko;13;67.00;10747000;69.12;46
Muna;12;70.47;8328000;69.61;119
Muna Barat;11;70.39;7668000;66.21;77
Murung Raya;12;69.75;10697000;68.63;5
Musi Banyuasin;17;69.19;10453000;68.6;44
Musi Rawas;15;68.62;10107000;67.78;63
Musi Rawas Utara;14;66.08;10283000;65.74;32
Nabire;17;68.41;9040000;69.91;16
Nagan Raya;11;69.45;8581000;70.1;50
Nagekeo;12;67.56;8433000;66.22;113
Natuna;10;65.76;14834000;73.47;46
Nduga;27;55.7;4190000;34.1;9
Ngada;12;68.4;8997000;68.26;101
